id,name,date_of_birth,position,current_club,f_matches,f_substitutions,f_goals,nf_matches,nf_substitutions,nf_goals,national_team,year
322,"Kanté, N'Golo",1991-03-29,Centre Midfielder,Chelsea FC,2,0,0,0,0,0,France,2019
323,"Ndombélé, Tanguy",1996-12-28,Centre Midfielder,Tottenham Hotspur,2,0,0,0,0,0,France,2019
324,"Lemar, Thomas",1995-11-12,Left Midfielder,Atlético Madrid,1,3,1,0,0,0,France,2019
325,"Sissoko, Moussa",1989-08-16,Centre Midfielder,Tottenham Hotspur,1,2,0,0,0,0,France,2019
326,"Fekir, Nabil",1993-07-18,Attacking Midfielder,Real Betis Sevilla,0,1,0,0,0,0,France,2019
327,"Griezmann, Antoine",1991-03-21,Left Winger,FC Barcelona,5,0,3,0,0,0,France,2019
328,"Mbappé, Kylian",1998-12-20,Centre Forward,Paris Saint-Germain,5,0,3,0,0,0,France,2019
329,"Giroud, Olivier",1986-09-30,Centre Forward,Chelsea FC,3,1,2,0,0,0,France,2019
330,"Thauvin, Florian",1993-01-26,Right Winger,Olympique Marseille,2,1,1,0,0,0,France,2019
331,"Ben Yedder, Wissam",1990-08-12,Centre Forward,AS Monaco,1,2,1,0,0,0,France,2019
332,"Coman, Kingsley",1996-06-13,Right Winger,Bayern München,0,2,0,0,0,0,France,2019
